Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17072026,1706432445,0003099
Trade Date <17-JUL-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,315,ALICON,EQ,7842,3880,49.48
20,316,ALIVUS,EQ,77913,41263,52.96
20,317,ALKEM,EQ,70604,38667,54.77
20,318,ALKYLAMINE,EQ,84593,35206,41.62
20,319,ALLCARGO,EQ,4158350,2236521,53.78
20,320,ALLDIGI,EQ,1279,943,73.73
20,321,ALLETEC,ST,3200,2400,75.00
20,322,ALLTIME,EQ,50962,31697,62.20
20,323,ALMONDZ,EQ,62750,40520,64.57
20,324,ALOKINDS,EQ,6944668,3652049,52.59
20,325,ALPA,EQ,14283,9363,65.55
20,326,ALPEXSOLAR,SM,41400,25200,60.87
20,327,ALPHA,EQ,1012456,560737,55.38
20,328,ALPHAETF,EQ,364592,253220,69.45
20,329,ALPHAGEO,EQ,5254,4249,80.87
20,330,ALPL30IETF,EQ,257963,210410,81.57
20,331,ALUWIND,SM,13500,13500,100.00
20,332,AMAGI,EQ,401197,149845,37.35
20,333,AMBAAUTO,SM,25000,20000,80.00
20,334,AMBALALSA,EQ,24264,14933,61.54
20,335,AMBER,EQ,310210,95841,30.90
20,336,AMBICAAGAR,EQ,706,665,94.19
20,337,AMBIKCO,EQ,6732,3823,56.79
20,338,AMBUJACEM,EQ,1898550,825681,43.49
20,339,AMCL,SM,15200,11200,73.68
20,340,AMDIND,EQ,10709,6635,61.96
20,341,AMEYA,SM,2000,2000,100.00
20,342,AMIRCHAND,EQ,1285398,674480,52.47
20,343,AMJLAND,EQ,5988,4116,68.74
20,344,AMNPLST,EQ,3835,2647,69.02
20,345,AMRUTANJAN,EQ,16984,10661,62.77
20,346,ANANDRATHI,EQ,148521,76862,51.75
20,347,ANANTAM,IV,4412,4079,92.45
20,348,ANANTRAJ,EQ,4283442,1642369,38.34
20,349,ANDHRAPAP,EQ,33497,24691,73.71
20,350,ANDHRSUGAR,EQ,234874,104949,44.68
20,351,ANGELONE,EQ,7923695,2175568,27.46
20,352,ANLON,ST,10800,9200,85.19
20,353,ANMOL,EQ,17176,12966,75.49
20,354,ANNAPURNA,SM,24000,21500,89.58
20,355,ANONDITA,SM,50400,41400,82.14
20,356,ANTELOPUS,EQ,67717,26929,39.77
20,357,ANTGRAPHIC,EQ,97134,55161,56.79
20,358,ANTHEM,EQ,2410630,1053904,43.72
20,359,ANUHPHR,EQ,22024,14839,67.38
20,360,ANUP,EQ,13068,6006,45.96
20,361,ANURAS,EQ,123952,61036,49.24
20,362,ANYA,SM,20000,15000,75.00
20,363,AONEGOLD,EQ,237388,113018,47.61
20,364,AONELIQUID,EQ,9230,8063,87.36
20,365,AONENIFTY,EQ,193553,177214,91.56
20,366,AONESILVER,EQ,753069,429148,56.99
20,367,AONETMMQ50,EQ,1770515,1747643,98.71
20,368,AONETOTAL,EQ,174807,82413,47.15
20,369,APARINDS,EQ,61575,28233,45.85
20,370,APCL,EQ,8164,6419,78.63
20,371,APCOTEXIND,EQ,60451,33355,55.18
20,372,APEX,EQ,127669,47985,37.59
20,373,APEXECO,ST,12800,12000,93.75
20,374,APLAPOLLO,EQ,311231,192210,61.76
20,375,APLLTD,EQ,70744,35434,50.09
20,376,APOLLO,EQ,4132232,1010509,24.45
20,377,APOLLOHOSP,EQ,144563,72123,49.89
20,378,APOLLOPIPE,EQ,170673,78869,46.21
20,379,APOLLOTYRE,EQ,713234,307564,43.12
20,380,APOLSINHOT,EQ,4938,2976,60.27
20,381,APRAMEYA,SM,7000,7000,100.00
20,382,APS,SM,4500,2750,61.11
20,383,APSISAERO,ST,33600,33600,100.00
20,384,APTUS,EQ,1598128,847023,53.00
20,385,AQYLON,EQ,443116,326858,73.76
20,386,ARCHIDPLY,EQ,3804,2354,61.88
20,387,ARCHIES,EQ,22842,17795,77.90
20,388,ARCIIL,ST,6000,5000,83.33
20,389,ARE&M,EQ,1009649,386298,38.26
20,390,ARENTERP,EQ,905,864,95.47
20,391,ARFIN,EQ,2090108,193811,9.27
20,392,ARHAM,SM,25000,14000,56.00
20,393,ARIES,EQ,16789,12187,72.59
20,394,ARIHANT,EQ,18609,12284,66.01
20,395,ARIHANTCAP,EQ,1279868,218187,17.05
20,396,ARIHANTSUP,EQ,24635,18289,74.24
20,397,ARIS,EQ,290705,119836,41.22
20,398,ARISTO,ST,800,800,100.00
20,399,ARKADE,EQ,619743,217594,35.11
20,400,ARMANFIN,EQ,30012,10990,36.62
20,401,ARMOUR,ST,12000,12000,100.00
20,402,AROGRANITE,EQ,935,764,81.71
20,403,ARSSBL,EQ,206159,85722,41.58
20,404,ARTEMISMED,EQ,105991,54378,51.30
20,405,ARTNIRMAN,EQ,780,779,99.87
20,406,ARUNAYA,ST,72000,66000,91.67
20,407,ARVEE,EQ,503,199,39.56
